iter	Passed	Remaining
0	177	177147
1	190	94810
2	195	65044
3	199	49784
4	207	41248
5	210	34912
6	217	30788
7	227	28213
8	231	25468
9	243	24147
10	253	22832
11	259	21375
12	267	20273
13	270	19054
14	274	17999
15	282	17344
16	285	16522
17	289	15791
18	297	15349
19	301	14755
20	306	14276
21	312	13871
22	317	13475
23	327	13310
24	331	12931
25	353	13256
26	365	13175
27	369	12834
28	380	12724
29	386	12492
30	390	12220
31	406	12289
32	420	12319
33	431	12252
34	440	12142
35	459	12292
36	501	13041
37	507	12851
38	524	12912
39	527	12670
40	532	12451
41	545	12451
42	549	12235
43	556	12095
44	563	11961
45	595	12356
46	645	13084
47	657	13046
48	689	13388
49	694	13200
50	698	12995
51	701	12791
52	705	12608
53	709	12421
54	712	12245
55	716	12069
56	721	11929
57	725	11780
58	729	11629
59	733	11489
60	742	11424
61	749	11335
62	754	11217
63	758	11089
64	761	10947
65	766	10847
66	804	11199
67	811	11123
68	816	11015
69	820	10903
70	829	10848
71	833	10742
72	836	10622
73	842	10547
74	848	10461
75	852	10363
76	857	10283
77	860	10175
78	864	10078
79	870	10011
80	874	9924
81	878	9834
82	880	9726
83	886	9663
84	890	9584
85	893	9499
86	899	9437
87	902	9351
88	904	9263
89	908	9185
90	914	9132
91	918	9069
92	922	8997
93	926	8934
94	931	8870
95	934	8801
96	942	8770
97	948	8733
98	953	8673
99	958	8625
100	962	8562
101	966	8505
102	971	8459
103	975	8405
104	979	8345
105	981	8278
106	987	8237
107	990	8176
108	992	8115
109	995	8054
110	1000	8009
111	1002	7949
112	1005	7890
113	1008	7836
114	1011	7785
115	1016	7744
116	1018	7688
117	1021	7637
118	1025	7589
119	1029	7549
120	1032	7499
121	1034	7445
122	1037	7398
123	1040	7353
124	1045	7317
125	1049	7278
126	1052	7233
127	1058	7211
128	1062	7177
129	1066	7137
130	1072	7114
131	1075	7073
132	1078	7031
133	1081	6989
134	1085	6952
135	1088	6912
136	1091	6873
137	1094	6836
138	1099	6807
139	1102	6773
140	1105	6734
141	1106	6688
142	1110	6655
143	1114	6625
144	1117	6589
145	1120	6555
146	1123	6521
147	1127	6488
148	1130	6457
149	1134	6426
150	1137	6393
151	1142	6371
152	1145	6342
153	1149	6314
154	1154	6295
155	1158	6268
156	1162	6240
157	1166	6213
158	1170	6191
159	1175	6169
160	1176	6133
161	1180	6106
162	1185	6087
163	1189	6064
164	1192	6035
165	1196	6009
166	1200	5986
167	1203	5958
168	1206	5931
169	1210	5911
170	1214	5887
171	1217	5861
172	1221	5838
173	1224	5814
174	1228	5792
175	1232	5769
176	1236	5747
177	1241	5731
178	1244	5708
179	1247	5684
180	1250	5660
181	1254	5639
182	1258	5618
183	1261	5593
184	1264	5569
185	1267	5547
186	1271	5529
187	1274	5506
188	1278	5485
189	1283	5473
190	1286	5449
191	1289	5427
192	1293	5407
193	1297	5390
194	1300	5369
195	1303	5346
196	1306	5323
197	1311	5310
198	1314	5291
199	1317	5269
200	1320	5248
201	1325	5235
202	1328	5217
203	1331	5195
204	1334	5175
205	1338	5160
206	1342	5142
207	1344	5121
208	1347	5101
209	1352	5088
210	1357	5074
211	1377	5120
212	1380	5102
213	1385	5088
214	1388	5069
215	1392	5053
216	1395	5034
217	1397	5013
218	1402	5001
219	1406	4985
220	1409	4968
221	1413	4952
222	1416	4937
223	1419	4918
224	1423	4903
225	1428	4892
226	1431	4874
227	1433	4855
228	1437	4838
229	1440	4823
230	1444	4809
231	1448	4794
232	1451	4777
233	1458	4775
234	1462	4760
235	1466	4746
236	1471	4737
237	1474	4721
238	1480	4713
239	1487	4710
240	1492	4699
241	1496	4686
242	1506	4691
243	1511	4683
244	1517	4677
245	1521	4664
246	1525	4651
247	1531	4643
248	1535	4629
249	1538	4614
250	1543	4605
251	1547	4592
252	1549	4576
253	1552	4558
254	1556	4546
255	1560	4534
256	1564	4522
257	1576	4534
258	1580	4520
259	1616	4600
260	1619	4584
261	1631	4596
262	1636	4586
263	1640	4574
264	1647	4569
265	1653	4563
266	1656	4548
267	1663	4544
268	1668	4534
269	1680	4542
270	1683	4529
271	1686	4513
272	1709	4552
273	1713	4539
274	1722	4541
275	1725	4527
276	1729	4513
277	1733	4503
278	1738	4493
279	1769	4550
280	1773	4538
281	1778	4527
282	1781	4514
283	1784	4499
284	1789	4489
285	1825	4556
286	1830	4546
287	1834	4534
288	1838	4523
289	1843	4512
290	1848	4504
291	1853	4493
292	1869	4510
293	1874	4500
294	1878	4490
295	1882	4478
296	1889	4472
297	1895	4464
298	1907	4471
299	1910	4457
300	1915	4449
301	1919	4435
302	1923	4425
303	1927	4412
304	1932	4404
305	1938	4396
306	1942	4383
307	1950	4382
308	1954	4371
309	1961	4365
310	1966	4357
311	1973	4351
312	1980	4347
313	1985	4337
314	1988	4324
315	1992	4311
316	1996	4301
317	1999	4288
318	2004	4280
319	2008	4267
320	2013	4258
321	2017	4248
322	2020	4235
323	2024	4223
324	2027	4210
325	2030	4197
326	2033	4186
327	2037	4175
328	2040	4162
329	2044	4150
330	2047	4138
331	2050	4126
332	2054	4115
333	2057	4103
334	2060	4090
335	2064	4079
336	2067	4066
337	2070	4055
338	2075	4046
339	2078	4035
340	2082	4023
341	2085	4012
342	2088	4000
343	2091	3988
344	2096	3979
345	2099	3967
346	2102	3955
347	2105	3945
348	2110	3935
349	2112	3923
350	2115	3912
351	2119	3902
352	2123	3891
353	2125	3878
354	2128	3867
355	2131	3855
356	2134	3844
357	2138	3834
358	2141	3823
359	2144	3812
360	2148	3803
361	2151	3791
362	2155	3782
363	2158	3770
364	2161	3760
365	2165	3750
